k,model,n_features_remaining,dropped_features,val_f1_macro,test_f1_macro,val_accuracy,test_accuracy
0,LightGBM,48,,1.0,1.0,1.0,1.0
0,RandomForest,48,,0.9986214485876312,0.9982371379009712,0.9990359399585405,0.998961013012313
1,LightGBM,47,Init Fwd Win Byts,0.996097337348117,0.9952307508678182,0.9972626688978247,0.9971777516921002
1,RandomForest,47,Init Fwd Win Byts,0.9960901852701778,0.9952222581825214,0.9972576737680762,0.9971727565623517
3,LightGBM,45,"Init Fwd Win Byts,Flow Duration,Fwd Seg Size Min",0.996097337348117,0.9952307508678182,0.9972626688978247,0.9971777516921002
3,RandomForest,45,"Init Fwd Win Byts,Flow Duration,Fwd Seg Size Min",0.9960329646282802,0.995171298214337,0.9972177127300882,0.9971427857838607
5,LightGBM,45,"Init Fwd Win Byts,Flow Duration,Fwd Seg Size Min",0.996097337348117,0.9952307508678182,0.9972626688978247,0.9971777516921002
5,RandomForest,45,"Init Fwd Win Byts,Flow Duration,Fwd Seg Size Min",0.9960329646282802,0.995171298214337,0.9972177127300882,0.9971427857838607
8,LightGBM,43,"Init Fwd Win Byts,Flow Duration,Fwd Seg Size Min,Flow IAT Mean,Fwd Pkts/s",0.996097337348117,0.9952307508678182,0.9972626688978247,0.9971777516921002
8,RandomForest,43,"Init Fwd Win Byts,Flow Duration,Fwd Seg Size Min,Flow IAT Mean,Fwd Pkts/s",0.9960901852701778,0.9952222581825214,0.9972576737680762,0.9971727565623517
