feature,importance
Fwd Seg Size Min,0.13003027254105956
Bwd Pkts/s,0.08646003351578964
Flow Pkts/s,0.07538547819037887
Flow Duration,0.06784577586056216
Flow IAT Max,0.0606332935862476
Flow IAT Mean,0.059843016150491014
ECE Flag Cnt,0.059280975879659664
Fwd Pkts/s,0.05143021357305102
Init Fwd Win Byts,0.03574550155719402
Pkt Len Mean,0.02750451350595257
Fwd Header Len,0.02670644108809115
Flow Byts/s,0.026034134871369186
Subflow Fwd Pkts,0.024684227365024746
Pkt Len Max,0.020277750880178875
Bwd Pkt Len Mean,0.019721337263671458
Subflow Fwd Byts,0.019562349489018128
Bwd Header Len,0.017527834217675422
Bwd Pkt Len Max,0.0174347836321456
Pkt Len Std,0.01595503495871226
Fwd Pkt Len Max,0.015761404283807658
Init Bwd Win Byts,0.014347033351687685
Flow IAT Std,0.013487309499327027
Fwd Pkt Len Mean,0.01325789709197893
Fwd Pkt Len Std,0.012650637189746506
Pkt Len Var,0.011712662961996195
Bwd Pkt Len Std,0.011300326564728742
ACK Flag Cnt,0.008650933109895733
Down/Up Ratio,0.006738509922374027
Bwd IAT Mean,0.006637234654105249
PSH Flag Cnt,0.006012327963472203
Fwd IAT Std,0.005917191666132201
Bwd IAT Tot,0.005729179667591059
Fwd Act Data Pkts,0.004429021756059497
URG Flag Cnt,0.004016398693045428
Bwd IAT Min,0.003967755052215129
Bwd IAT Max,0.003935941038799442
Bwd IAT Std,0.0032163781815106123
Bwd Pkt Len Min,0.0017829210825097838
Fwd Pkt Len Min,0.0014785769318191849
Idle Max,0.001001286552170121
Pkt Len Min,0.0009068925801858004
FIN Flag Cnt,0.0004928853646978593
Active Min,0.00013283917063254555
Active Max,0.00011263474100778182
Active Mean,0.00010554933719596787
Active Std,5.991381102356169e-05
Idle Std,5.854221822456406e-05
Fwd PSH Flags,3.684743578652337e-05
